Date,Apple,Google,Amazon,Daily_Total
13-Sep-14,0,1,0,1
14-Sep-14,1,2,0,3
15-Sep-14,16,7,3,26
16-Sep-14,49,91,1,141
17-Sep-14,37,63,0,100
18-Sep-14,10,14,0,30
19-Sep-14,4,6,0,10
20-Sep-14,4,8,1,13
21-Sep-14,8,2,0,10
22-Sep-14,4,4,0,8
23-Sep-14,5,9,0,14
24-Sep-14,1,6,0,7
25-Sep-14,2,6,0,8
26-Sep-14,0,2,0,2
27-Sep-14,3,1,0,4
