Date,Android,Ipad,Total
9/13/14,7,0,7
9/14/14,11,2,13
9/15/14,7,23,30
9/16/14,104,50,154
9/17/14,77,41,118
9/18/14,30,15,45
9/19/14,14,11,25
9/20/14,11,7,18
9/21/14,1,6,7
9/22/14,9,8,17
9/23/14,14,11,25
9/24/14,7,6,13
9/25/14,8,5,13
9/26/14,2,4,6
9/27/14,0,5,5
9/28/14,1,7,8
9/29/14,1,4,5
9/30/14,3,10,13
